playercard_no,playercard_box,playercard_name,playercard_unique,playercard_type,playercard_cost,playercard_sphere,playercard_special_rules,playercard_count,playercard_keyword1,playercard_keyword2,playercard_keyword3,playercard_keyword4,playercard_trait1,playercard_trait2,playercard_trait3,playercard_trait4,playercard_ally_quest,playercard_ally_attack,playercard_ally_defence,playercard_ally_hp,playercard_ally_secrecy
15,22,The Seeing-stone,,Event,0,Neutral,"Action: Search your deck for a card with the Doomed keyword and add it to your hand. 
Shuffle your deck. ",3,doomed 1,,,,,,,,,,,,
56,11,Watcher of the Bruinen,,Ally,2,Tactics,"Watcher of the Bruinen does not exhaust to defend.
Forced: After Watcher of the Bruinen defends either discard it from play or discard 1 card from your hand.",3,sentinel,,,,noldor,warrior,,,0,1,2,2,
58,11,Arwen Undomiel,1,Ally,2,Spirit,Response: After Arwen Und¢miel exhausts choose a character. That character gains sentinel and gets +1 Defense until the end of the round.,3,,,,,noldor,noble,,,2,0,1,2,
55,11,Sword that was Broken,,Attachment,3,Leadership,Attach to a hero. Attached hero gains a Leadership resource icon. If attached hero is Aragorn each character you control gets +1 Willpower.,3,,,,,artifact,,,,,,,,
57,11,Rivendell Bow,,Attachment,1,Tactics,"Attach to a Noldor or Silvan character or to Aragorn.
Limit 1 per character.
Attached character gains ranged. If attached character has a printed ranged keyword it gets +1 Attack during a ranged attack.",3,,,,,item,weapon,,,,,,,
61,11,Legacy of Durin,1,Attachment,1,Lore,"Attach to a Dwarf hero.
Response: After you play a Dwarf character from your hand draw 1 card.",3,,,,,condition,,,,,,,,
62,11,Resourceful,,Attachment,4,Neutral,"Attach to a hero you control.
Attached hero collects 1 additional resource during the resource phase each round.",3,secrecy 3,,,,,,,,,,,,3
54,11,Grave Cairn,,Event,1,Leadership,Response: After a character leaves play add its Defense to another characters Defense until the end of the round.,3,,,,,,,,,,,,,
59,11,Elronds Counsel,,Event,0,Spirit,Action: If you control a unique Noldor character give another character +1 Willpower until the end of the phase and lower your threat by 3.,3,,,,,,,,,,,,,
60,11,Short Cut,,Event,1,Lore,Response: After a location enters play exhaust a Hobbit character to shuffle that location back into the encounter deck. Then reveal 1 card from the encounter deck and add it to the staging area.,3,,,,,,,,,,,,,
